method,drop_fraction,seed,round,test_accuracy,test_loss
fedprox_mu0,0.0,2,160,0.6955719557195572,0.6763048333541679
fedprox_mu0,0.0,2,170,0.7047970479704797,0.6631335665487945
fedprox_mu0,0.0,2,180,0.6595940959409594,0.68854724757809
fedprox_mu0,0.0,2,190,0.7038745387453874,0.6537981554372267
fedprox_mu0,0.0,2,200,0.7130996309963099,0.6487290608463727
fedprox_mu0,0.5,0,0,0.026752767527675275,3.717174929231678
fedprox_mu0,0.5,0,10,0.43726937269372695,1.4659936597349221
fedprox_mu0,0.5,0,20,0.45571955719557194,1.6140733628509447
fedprox_mu0,0.5,0,30,0.5055350553505535,1.1094236260993433
fedprox_mu0,0.5,0,40,0.6060885608856088,1.015197990459762
fedprox_mu0,0.5,0,50,0.6226937269372693,0.9701146208846404
fedprox_mu0,0.5,0,60,0.6374538745387454,0.9118814097070245
fedprox_mu0,0.5,0,70,0.6642066420664207,0.8513944630841541
fedprox_mu0,0.5,0,80,0.6752767527675276,0.8189701707860402
fedprox_mu0,0.5,0,90,0.6845018450184502,0.7950964514106013
fedprox_mu0,0.5,0,100,0.6845018450184502,0.7698517644004853
fedprox_mu0,0.5,0,110,0.6734317343173432,0.7614045637938043
fedprox_mu0,0.5,0,120,0.6688191881918819,0.7524001612889722
fedprox_mu0,0.5,0,130,0.6891143911439115,0.7422350456805757
fedprox_mu0,0.5,0,140,0.6946494464944649,0.72475738435841
fedprox_mu0,0.5,0,150,0.6872693726937269,0.7182304057974951
fedprox_mu0,0.5,0,160,0.6946494464944649,0.7052188679942379
fedprox_mu0,0.5,0,170,0.6891143911439115,0.6963783051862122
fedprox_mu0,0.5,0,180,0.6512915129151291,0.7137117691450073
fedprox_mu0,0.5,0,190,0.7001845018450185,0.6831060133756648
fedprox_mu0,0.5,0,200,0.7029520295202952,0.6775395168658226
fedprox_mu0,0.5,1,0,0.02859778597785978,3.354093961834445
fedprox_mu0,0.5,1,10,0.42712177121771217,1.457691721682678
fedprox_mu0,0.5,1,20,0.48154981549815495,1.3233995413260349
fedprox_mu0,0.5,1,30,0.5433579335793358,1.1424196336878114
fedprox_mu0,0.5,1,40,0.559040590405904,1.0600084717093081
fedprox_mu0,0.5,1,50,0.5793357933579336,0.994263071862008
fedprox_mu0,0.5,1,60,0.6291512915129152,0.9249335656040476
fedprox_mu0,0.5,1,70,0.6420664206642066,0.8656197566720846
fedprox_mu0,0.5,1,80,0.6466789667896679,0.8347885356034671
fedprox_mu0,0.5,1,90,0.6429889298892989,0.8099651557231684
fedprox_mu0,0.5,1,100,0.6485239852398524,0.7872709632802011
fedprox_mu0,0.5,1,110,0.6512915129151291,0.7735754081206825
fedprox_mu0,0.5,1,120,0.6605166051660517,0.7580871937375634
fedprox_mu0,0.5,1,130,0.6586715867158671,0.7497755633313951
fedprox_mu0,0.5,1,140,0.6660516605166051,0.7300512876450035
fedprox_mu0,0.5,1,150,0.6706642066420664,0.7218454040235802
fedprox_mu0,0.5,1,160,0.6734317343173432,0.7114176562143935
fedprox_mu0,0.5,1,170,0.6798892988929889,0.6997812315762373
fedprox_mu0,0.5,1,180,0.6752767527675276,0.6999823825486439
fedprox_mu0,0.5,1,190,0.6808118081180812,0.6849357295161445
fedprox_mu0,0.5,1,200,0.683579335793358,0.6798646673098746
fedprox_mu0,0.5,2,0,0.03690036900369004,4.299811783666757
fedprox_mu0,0.5,2,10,0.35608856088560886,1.3939356237402585
fedprox_mu0,0.5,2,20,0.45940959409594095,1.271846637442987
fedprox_mu0,0.5,2,30,0.533210332103321,1.0857800234215682
fedprox_mu0,0.5,2,40,0.5719557195571956,1.0165734415398844
fedprox_mu0,0.5,2,50,0.5876383763837638,0.9606379471275149
fedprox_mu0,0.5,2,60,0.6226937269372693,0.8957098672500629
fedprox_mu0,0.5,2,70,0.6512915129151291,0.843104710722665
fedprox_mu0,0.5,2,80,0.6531365313653137,0.8118316439343698
fedprox_mu0,0.5,2,90,0.6605166051660517,0.7917074515411165
fedprox_mu0,0.5,2,100,0.6697416974169742,0.7644779283473013
fedprox_mu0,0.5,2,110,0.6531365313653137,0.7541805237757614
fedprox_mu0,0.5,2,120,0.6485239852398524,0.7434320751373094
fedprox_mu0,0.5,2,130,0.6743542435424354,0.7378306441233513
fedprox_mu0,0.5,2,140,0.6881918819188192,0.71648834482554
fedprox_mu0,0.5,2,150,0.683579335793358,0.7130783846865079
fedprox_mu0,0.5,2,160,0.6808118081180812,0.7002252620448297
fedprox_mu0,0.5,2,170,0.7020295202952029,0.687773246353853
fedprox_mu0,0.5,2,180,0.6577490774907749,0.7022834077007045
fedprox_mu0,0.5,2,190,0.6937269372693727,0.6767570451015901
fedprox_mu0,0.5,2,200,0.6992619926199262,0.6704530496298269
fedprox_mu0,0.9,0,0,0.026752767527675275,3.717174929231678
fedprox_mu0,0.9,0,10,0.4317343173431734,1.4582698541961114
fedprox_mu0,0.9,0,20,0.4492619926199262,1.61545149518885
fedprox_mu0,0.9,0,30,0.49538745387453875,1.1431779043369885
fedprox_mu0,0.9,0,40,0.5913284132841329,1.0493418893757969
fedprox_mu0,0.9,0,50,0.6190036900369004,1.0037741600752856
fedprox_mu0,0.9,0,60,0.6079335793357934,0.9499560115656056
fedprox_mu0,0.9,0,70,0.6577490774907749,0.8848076770807308
fedprox_mu0,0.9,0,80,0.6706642066420664,0.8525280250769477
fedprox_mu0,0.9,0,90,0.6789667896678967,0.8288322404951863
fedprox_mu0,0.9,0,100,0.6734317343173432,0.7975216647744459
fedprox_mu0,0.9,0,110,0.6706642066420664,0.7871111225413758
fedprox_mu0,0.9,0,120,0.6494464944649446,0.7830773392634194
fedprox_mu0,0.9,0,130,0.683579335793358,0.7643356334690129
fedprox_mu0,0.9,0,140,0.6891143911439115,0.7471706930371526
fedprox_mu0,0.9,0,150,0.6808118081180812,0.7396055538649684
fedprox_mu0,0.9,0,160,0.6946494464944649,0.7248103365588437
fedprox_mu0,0.9,0,170,0.6891143911439115,0.7149176897775107
fedprox_mu0,0.9,0,180,0.6632841328413284,0.7249381440480267
fedprox_mu0,0.9,0,190,0.698339483394834,0.7014753982289004
fedprox_mu0,0.9,0,200,0.6974169741697417,0.6962846736107282
fedprox_mu0,0.9,1,0,0.02859778597785978,3.354093961834445
fedprox_mu0,0.9,1,10,0.4151291512915129,1.4737996712917811
fedprox_mu0,0.9,1,20,0.47878228782287824,1.3586397297423936
fedprox_mu0,0.9,1,30,0.5239852398523985,1.202239456517872
fedprox_mu0,0.9,1,40,0.5424354243542435,1.0983427976249605
fedprox_mu0,0.9,1,50,0.5673431734317343,1.0340022217145306
fedprox_mu0,0.9,1,60,0.6107011070110702,0.9707093062557834
fedprox_mu0,0.9,1,70,0.6208487084870848,0.9189132596601346
fedprox_mu0,0.9,1,80,0.6254612546125461,0.8753242052690131
fedprox_mu0,0.9,1,90,0.6383763837638377,0.845936733244422
fedprox_mu0,0.9,1,100,0.6337638376383764,0.821016266890281
fedprox_mu0,0.9,1,110,0.6282287822878229,0.8084599541664345
fedprox_mu0,0.9,1,120,0.6365313653136532,0.7890866059434622
fedprox_mu0,0.9,1,130,0.6531365313653137,0.7770838150966684
fedprox_mu0,0.9,1,140,0.6531365313653137,0.7568039707062438
fedprox_mu0,0.9,1,150,0.6614391143911439,0.7454164238363081
fedprox_mu0,0.9,1,160,0.6678966789667896,0.7341238396912093
fedprox_mu0,0.9,1,170,0.6752767527675276,0.7220533354833141
fedprox_mu0,0.9,1,180,0.6715867158671587,0.7161978463500914
fedprox_mu0,0.9,1,190,0.6771217712177122,0.7053260598454413
fedprox_mu0,0.9,1,200,0.6780442804428044,0.69996318191071
fedprox_mu0,0.9,2,0,0.03690036900369004,4.299811783666757
fedprox_mu0,0.9,2,10,0.36162361623616235,1.410189442103088
fedprox_mu0,0.9,2,20,0.4575645756457565,1.3028239066094178
fedprox_mu0,0.9,2,30,0.49907749077490776,1.1709399105521758
fedprox_mu0,0.9,2,40,0.5479704797047971,1.0578090490684966
fedprox_mu0,0.9,2,50,0.5738007380073801,0.9993781366588551
fedprox_mu0,0.9,2,60,0.5904059040590406,0.937863814606722
fedprox_mu0,0.9,2,70,0.6208487084870848,0.8864007914489456
fedprox_mu0,0.9,2,80,0.6374538745387454,0.851389450147461
fedprox_mu0,0.9,2,90,0.6356088560885609,0.8323280111769549
fedprox_mu0,0.9,2,100,0.6503690036900369,0.7975836441727179
fedprox_mu0,0.9,2,110,0.6309963099630996,0.7883372719575301
fedprox_mu0,0.9,2,120,0.6162361623616236,0.782851231639277
fedprox_mu0,0.9,2,130,0.6531365313653137,0.7695478098972255
fedprox_mu0,0.9,2,140,0.6669741697416974,0.7465661600324258
fedprox_mu0,0.9,2,150,0.672509225092251,0.740343199132148
fedprox_mu0,0.9,2,160,0.6688191881918819,0.7249480969775856
fedprox_mu0,0.9,2,170,0.6918819188191881,0.7115647584187943
fedprox_mu0,0.9,2,180,0.6512915129151291,0.7209971875865347
fedprox_mu0,0.9,2,190,0.6845018450184502,0.6998397587390123
fedprox_mu0,0.9,2,200,0.6891143911439115,0.6920041226656183
fedprox_mu1,0.0,0,0,0.026752767527675275,3.717174929231678
fedprox_mu1,0.0,0,10,0.42066420664206644,1.357405129430279
fedprox_mu1,0.0,0,20,0.4621771217712177,1.531543440303526
fedprox_mu1,0.0,0,30,0.5027675276752768,1.1088214333403634
